,B01003_001E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B01001I_001E,B09020_001E,B15003_002E,B15003_017E,B15003_022E,B15003_023E,B15003_025E,B17001_002E,B27001_002E,B27001_030E,NAME,state,place
858,2195,45,36,89,21,32,0,58,0,80,5,17,20,1839,0,105,0,0,63,133,403,14,406,291,106,0,283,1123,1072,"Ridgeway CDP, Alaska",02,65345
859,188,6,0,4,0,0,0,1,3,3,1,0,1,13,0,167,0,0,0,0,19,0,49,5,4,0,80,93,95,"Ruby city, Alaska",02,65590
860,348,4,2,0,0,0,0,1,5,2,0,1,0,11,0,146,0,0,0,0,15,0,47,5,2,0,120,178,170,"Russian Mission city, Alaska",02,65700
861,85,1,2,1,1,0,0,0,5,0,3,0,0,8,0,75,0,0,2,2,13,0,42,5,2,0,4,45,40,"St. George city, Alaska",02,65800
862,538,2,1,6,5,1,0,2,7,6,0,8,2,16,0,496,0,0,0,4,40,7,117,9,0,0,134,284,254,"St. Mary's city, Alaska",02,66140
863,441,0,2,6,1,0,0,4,2,0,1,0,0,5,0,428,0,0,0,0,16,0,99,2,0,0,101,245,196,"St. Michael city, Alaska",02,66360
864,480,4,3,11,11,0,0,2,4,9,2,2,0,71,0,359,0,18,27,20,48,0,139,23,12,18,59,278,186,"St. Paul city, Alaska",02,66470
865,1055,25,3,13,5,4,13,7,7,7,4,11,3,741,43,178,12,0,0,35,102,3,164,48,16,0,118,323,321,"Salamatof CDP, Alaska",02,66510
866,1080,29,24,13,9,0,0,12,7,19,0,0,0,1035,0,15,0,18,0,8,113,0,162,107,70,0,104,581,488,"Salcha CDP, Alaska",02,66550
867,1332,19,17,10,8,0,7,29,3,7,5,0,0,217,22,594,270,28,38,110,105,4,324,71,31,3,242,737,595,"Sand Point city, Alaska",02,67020
868,932,2,0,17,13,4,0,3,6,3,7,6,6,24,0,890,0,0,0,0,67,0,188,8,5,1,402,486,446,"Savoonga city, Alaska",02,67460
869,377,3,2,14,4,0,1,5,3,7,7,4,0,45,0,279,2,0,0,20,50,0,79,15,7,1,57,218,159,"Saxman city, Alaska",02,67570
870,537,6,2,4,6,0,0,2,2,7,8,2,2,4,0,529,0,0,0,0,41,0,97,0,2,0,287,286,251,"Scammon Bay city, Alaska",02,67680
871,813,2,5,6,3,3,3,0,1,1,9,5,8,11,0,787,0,0,0,0,46,8,170,6,4,0,379,449,364,"Selawik city, Alaska",02,68230
