State,City,PlaceFIPS,ACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CHD,CHECKUP,CHOLSCREEN,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DIABETES,HIGHCHOL,KIDNEY,LPA,MAMMOUSE,MHLTH,OBESITY,PAPTEST,PHLTH,SLEEP,STROKE,TEETHLOST
MI,Sterling Heights,2676460,12.2,27.9,20.6,32.4,59.0,6.5,10.1,6.5,70.1,76.0,69.9,7.4,37.2,31.3,22.9,69.8,8.7,35.5,2.9,24.7,79.4,12.1,30.9,80.7,11.5,36.2,2.7,12.3
MI,Troy,2680700,8.5,23.7,19.9,27.0,56.1,6.4,8.7,5.2,71.0,79.4,71.3,4.9,35.4,38.0,13.3,77.7,7.4,33.2,2.6,17.6,81.9,9.0,23.2,84.4,8.2,34.2,2.1,8.6
MI,Warren,2684000,16.0,30.0,19.3,34.7,60.8,6.5,11.1,7.3,69.8,75.1,66.4,9.0,35.6,28.9,27.2,63.1,10.1,35.9,3.1,29.0,77.4,14.1,34.9,77.6,13.9,38.7,3.2,15.3
MI,Westland,2686000,14.1,29.0,19.8,31.9,56.9,6.7,10.8,6.6,69.6,76.8,66.5,8.2,34.8,31.4,24.0,66.6,9.4,35.7,3.2,24.6,81.4,13.1,31.0,81.9,12.3,40.1,3.0,13.4
MI,Wyoming,2688940,16.2,28.0,20.4,32.6,57.4,6.4,10.4,6.7,70.5,75.6,67.0,7.8,35.7,38.3,20.4,66.7,9.9,34.7,3.1,26.3,81.3,13.0,32.6,82.3,13.1,34.7,2.9,14.2
MN,Bloomington,2706616,8.5,18.7,21.1,24.4,55.4,5.9,8.7,4.7,67.6,77.2,69.6,4.0,32.5,37.9,15.5,74.9,6.7,31.3,1.9,17.5,81.3,8.3,23.1,85.6,7.7,29.0,2.2,7.7
MN,Brooklyn Park,2707966,11.1,19.7,18.4,26.5,57.8,5.6,9.3,5.1,68.8,76.7,66.4,4.5,30.0,35.1,17.5,69.0,8.3,31.4,2.1,21.3,80.2,9.3,25.4,82.8,8.9,32.4,2.7,9.8
MN,Duluth,2717000,10.5,24.3,21.2,25.5,59.4,6.1,9.4,5.8,66.7,73.5,64.4,5.6,35.9,33.6,22.0,67.2,8.1,29.1,2.1,21.5,74.7,10.4,30.1,80.8,10.5,31.1,2.8,13.1
MN,Minneapolis,2743000,11.7,20.0,19.1,27.9,58.1,5.8,9.6,5.4,67.4,75.1,65.9,4.8,30.0,34.2,17.4,68.7,8.6,32.2,2.3,20.6,80.0,9.6,26.7,83.0,9.5,30.7,2.9,10.7
MN,Plymouth,2751730,6.1,17.5,21.6,23.2,54.4,6.0,8.2,4.3,68.3,78.2,72.4,3.3,33.9,40.0,12.6,79.7,5.9,30.9,1.7,14.4,82.7,7.1,20.9,87.5,6.4,26.9,1.9,6.0
